SentenceID,Sentence,UncertTotal,NumTurkers,Final
1225,You should think about picking up a smaller one.,6,3,2.0
626,I've read so many 9/11 conspiracy theorist threads I'm practically an expert.,6,3,2.0
1735,Perhaps you should realize that the main problem is it sounds like you are attacking Americans and blaming the entire problem of global warming on us and that we are the ones responsible for fixing it.,8,4,2.0
664,I happened to watch a news review on Sky News this morning in which a bunch of journo's were bleating on that we shouldn't condemn all the 'innocent' and hard working journalists at News International just because a whole bunch of hacks at the Sun were arrested... because that would cause untold damage to the whole media industry.,4,3,1.33333333333
4186,We went up with 16/1 and they bit our hands off,3,3,1.0
6482,You can re-post all the points of legitimate contention over and over.,3,3,1.0
135,But I'm not sure the professor knew what 'intellectual' means.,10,4,2.5
4579,Maybe in the past,6,3,2.0
6927,And I was reading an article in Time Magazine a few days after his death..they said that the tape that was retrieved bearing Al-Qaeda's confirmation that Bin laden was dead was found near the compound and had not been verified although it was assumed that it was in fact from Al-Qaeda.,7,4,1.75
7015,I only get it when I've been carrying a bag (not neccessarily heavy),4,3,1.33333333333
3556,There's something about it - New Hampshire seems to vote for somebody other than who won in Iowa.,7,4,1.75
5277,not srsI dare...I dare!!!,3,3,1.0
7092,He has never sent my sister or I a text message,4,4,1.0
22,Its not controversial in the least like the first Zeitgeist film was.,5,3,1.66666666667
7492,She spoke fluent French and all that,6,4,1.5
2529,Would't be shocked if they used nukes either tbhGiven the Israeli mentality I would say we will see them strike Iran.,5,3,1.66666666667
8099,It is time to sweep Newt into the dustbin.,5,3,1.66666666667
0,I guess this is what you wanted me to respond to.,7,3,2.33333333333
7410,seems to be a pretty moderate Republican,6,3,2.0
3899,He took two small papers with declining circulation in a small city in South Australia and built a media empire and made himself on of the wealthiest men in the world.,4,3,1.33333333333
652,I don't expect that movement to end any time soon.,6,3,2.0
6844,So now it is a fight for freedom of choice.,3,3,1.0
4560,It is prohibited in Germany now.,3,3,1.0
509,'Smart' anything is a bit of a reach for him.,5,3,1.66666666667
287,You seem to feel that for these people and I wish you luck.,6,3,2.0
221,So it is indeed possible the air has warmed but the ocean has not.,8,4,2.0
2572,Your husband's friend was right.. he does need to Man up"... he needs to "man up" and take responisibilty for his family.",3,3,1.0
715,You know what - we were possibly over there at the same time,6,3,2.0
5145,Be prepared to be stopped for motoring offences by disgruntled coppers for the next 10 or so years........Make a formal complaint.,4,3,1.33333333333
6447,* Reverse Citizen's United" and put elections back in the hands ofThe People.",3,3,1.0
1049,I am 25 and I am worried then if I ever move out they will be completely lost!,6,3,2.0
