SentenceID,Sentence,HedgeWord,Hedge,NotHedge,Final,Agreement
3920,I listen to what they say on camera,they say,7,3,0.7,0.7
626,I've read so many 9/11 conspiracy theorist threads I'm practically an expert.,practically,9,1,0.9,0.9
2529,Would't be shocked if they used nukes either tbhGiven the Israeli mentality I would say we will see them strike Iran.,I would say,8,2,0.8,0.8
664,I happened to watch a news review on Sky News this morning in which a bunch of journo's were bleating on that we shouldn't condemn all the 'innocent' and hard working journalists at News International just because a whole bunch of hacks at the Sun were arrested... because that would cause untold damage to the whole media industry.,a whole bunch,7,3,0.7,0.7
2842,This is totally Unacceptable!,totally,0,10,0.0,1.0
662,Most of those truthers are likely to just move on after the election and look for other things to be pissed off about.,likely,5,5,0.5,0.5
66,It might ramble at times.,might,10,0,1.0,1.0
495,I look at the results- Balanced budgets (kind of),kind of,10,0,1.0,1.0
257,Even though I would have supported the Russians against the Germans in general and especially with the German attack on Stalingrad; if I were to have crossed into Finland I probably would have ended up supporting some of the German regiments which were fighting alongside Finish units against Soviet aggression toward Finland.,general,10,0,1.0,1.0
1082,All you've done is copied what I've said because my thinking was sharper,my thinking,0,9,0.0,1.0
344,As Unions usually do,usually,8,2,0.8,0.8
26,I think the Zeitgeist films started out very controversial,think,10,0,1.0,1.0
21,If you really want to dive into these ideas,really,4,6,0.4,0.6
22,Its not controversial in the least like the first Zeitgeist film was.,like,10,0,1.0,1.0
288,One of my favorite books is a book of poetry from Chinese women ('The Orchid boat')- who were mostly concubines or otherwise matriarchal society.,mostly,9,1,0.9,0.9
1163,The protest may pressure Prime Minister Abhisit Vejjajiva to hasten plans to amend the constitution as a reconciliation panel gets ready to propose changes next month.,propose,7,2,0.777777777778,0.777777777778
1735,Perhaps you should realize that the main problem is it sounds like you are attacking Americans and blaming the entire problem of global warming on us and that we are the ones responsible for fixing it.,sounds like,9,1,0.9,0.9
3257,A house divided will surely fall.,surely,1,9,0.1,0.9
1502,A few thoughts in perusing the fallout here:1) Fox-- I feel sort of responsible for you feeling as though you had to defend my statements-- of course,sort of,10,0,1.0,1.0
