SentenceID,Sentence,HedgeWord,Final,Agreement
3920,I listen to what they say on camera,they say,0.119047619048,0.880952380952
664,I happened to watch a news review on Sky News this morning in which a bunch of journo's were bleating on that we shouldn't condemn all the 'innocent' and hard working journalists at News International just because a whole bunch of hacks at the Sun were arrested... because that would cause untold damage to the whole media industry.,a whole bunch,0.880952380952,0.880952380952
2842,This is totally Unacceptable!,totally,0.0,1.0
662,Most of those truthers are likely to just move on after the election and look for other things to be pissed off about.,likely,1.0,1.0
135,But I'm not sure the professor knew what 'intellectual' means.,sure,1.0,1.0
495,I look at the results- Balanced budgets (kind of),kind of,1.0,1.0
2524,It now seems certain to me that within the next decade the U.K and U.S.A among others will be involved in a fully fledged war against Iran.,among others,1.0,1.0
26,I think the Zeitgeist films started out very controversial,think,1.0,1.0
21,If you really want to dive into these ideas,really,0.5,0.5
22,Its not controversial in the least like the first Zeitgeist film was.,like,1.0,1.0
2529,Would't be shocked if they used nukes either tbhGiven the Israeli mentality I would say we will see them strike Iran.,I would say,0.738095238095,0.738095238095
3257,A house divided will surely fall.,surely,0.0,1.0
344,As Unions usually do,usually,1.0,1.0
0,I guess this is what you wanted me to respond to.,guess,1.0,1.0
4,I imagine people will do whatever they want,imagine,1.0,1.0
287,You seem to feel that for these people and I wish you luck.,feel,0.0,1.0
408,Now the Space-shuttle program is going tits up thanks to him so we're pretty much out of the space business.,pretty much,1.0,1.0
715,You know what - we were possibly over there at the same time,possibly,1.0,1.0
3136,I would be more concerned with his short term intentions to be honest,to be honest,1.0,1.0
1951,The best estimate of the annual death toll among Americans of working age due to lack of insurance or under-insurance is at least 20,estimate,1.0,1.0
55,No amount of justification that there was good reasons to believe can only be summed up with the Rubbaiyya of Omar Khayyam,believe,0.5,0.5
5611,He seeks pledges from approximately 40,approximately,1.0,1.0
2312,I could feel them work my legs but they said this happens.,they said,0.0,1.0
53,The most unfortunate part is that there is low credibility ever since no WMD could be found inspite of all the search!,most,0.261904761905,0.738095238095
52,I mean 40% of the world is living under $2 a day.,I mean,1.0,1.0
2419,(I do not recall this and deny it!),recall,0.0,1.0
372,A bad economy and fewer jobs WILL almost certainly cause more crime and strife.,almost,1.0,1.0
820,I suggested the basic economics in it seemed some people didn't understand the basic cost/supply relationship - and many people in their thoughtful wish to help others less fortunate only correlate higher salary = more spending power without looking at the downstream impacts (or lack thereof).,basic,0.119047619048,0.880952380952
1327,In the future farming will become an endeavor of the highly educated (not necessarily degrees,necessarily,1.0,1.0
1325,All you've done is copied what I've said because my thinking was sharper,my thinking,0.0,1.0
2495,i'm somewhat more interested in boycotting bp and forcing fund managers to divest all bp stock than i am in prosecuting the bp ceo,somewhat,0.738095238095,0.738095238095
272,I think it is fair to say that the closer a culture is to the 'one time only,fair,0.0,1.0
80,I can't believe I was stupid enough to buy all the tripe about what Iraq could become if we just remove the dictator.,about,0.0,1.0
87,I can't believe I was stupid enough to buy all the tripe about what Iraq could become if we just remove the dictator.,about,0.0,1.0
1714,I will email a couple of people and get back to you ASAP.,a couple,1.0,1.0
2606,The right-wing neocon whackjobs on this board only care about the small percentage that seemingly cause trouble.,seemingly,1.0,1.0
3556,There's something about it - New Hampshire seems to vote for somebody other than who won in Iowa.,somebody,0.0,1.0
8751,Africans and the like would be better served with sterilization/food clinics rather than these religious recruitment/anti birth control/food for Christ propaganda missions that they've been fed the past 40 years.,the like,1.0,1.0
307,No-one is disputing that foreigners work very hard; indeed they often show that they are hard workers.,often,1.0,1.0
108,The current round of talks was also important because this will probably be the last meeting in which Dai will participate as special envoy on the border talks ahead of the Chinese leadership change,probably,1.0,1.0
32,There is so much wrong and you don't seem to understand what's wrong.,understand,0.0,1.0
31,There is so much wrong and you don't seem to understand what's wrong.,much,0.0,1.0
