SentenceID,Sentence,HedgeWord,Hedge,NotHedge,Final,Agreement
3920,I listen to what they say on camera,they say,3,2,0.6,0.6
626,I've read so many 9/11 conspiracy theorist threads I'm practically an expert.,practically,5,0,1.0,1.0
2529,Would't be shocked if they used nukes either tbhGiven the Israeli mentality I would say we will see them strike Iran.,I would say,3,2,0.6,0.6
664,I happened to watch a news review on Sky News this morning in which a bunch of journo's were bleating on that we shouldn't condemn all the 'innocent' and hard working journalists at News International just because a whole bunch of hacks at the Sun were arrested... because that would cause untold damage to the whole media industry.,a whole bunch,3,2,0.6,0.6
2842,This is totally Unacceptable!,totally,0,5,0.0,1.0
662,Most of those truthers are likely to just move on after the election and look for other things to be pissed off about.,likely,4,1,0.8,0.8
66,It might ramble at times.,might,5,0,1.0,1.0
495,I look at the results- Balanced budgets (kind of),kind of,5,0,1.0,1.0
257,Even though I would have supported the Russians against the Germans in general and especially with the German attack on Stalingrad; if I were to have crossed into Finland I probably would have ended up supporting some of the German regiments which were fighting alongside Finish units against Soviet aggression toward Finland.,general,5,0,1.0,1.0
1082,All you've done is copied what I've said because my thinking was sharper,my thinking,0,5,0.0,1.0
344,As Unions usually do,usually,4,1,0.8,0.8
26,I think the Zeitgeist films started out very controversial,think,5,0,1.0,1.0
21,If you really want to dive into these ideas,really,1,4,0.2,0.8
22,Its not controversial in the least like the first Zeitgeist film was.,like,5,0,1.0,1.0
288,One of my favorite books is a book of poetry from Chinese women ('The Orchid boat')- who were mostly concubines or otherwise matriarchal society.,mostly,4,1,0.8,0.8
1163,The protest may pressure Prime Minister Abhisit Vejjajiva to hasten plans to amend the constitution as a reconciliation panel gets ready to propose changes next month.,propose,4,1,0.8,0.8
1735,Perhaps you should realize that the main problem is it sounds like you are attacking Americans and blaming the entire problem of global warming on us and that we are the ones responsible for fixing it.,sounds like,5,0,1.0,1.0
3257,A house divided will surely fall.,surely,1,4,0.2,0.8
1502,A few thoughts in perusing the fallout here:1) Fox-- I feel sort of responsible for you feeling as though you had to defend my statements-- of course,sort of,5,0,1.0,1.0
0,I guess this is what you wanted me to respond to.,guess,4,1,0.8,0.8
652,I don't expect that movement to end any time soon.,expect,0,5,0.0,1.0
4,I imagine people will do whatever they want,imagine,5,0,1.0,1.0
509,'Smart' anything is a bit of a reach for him.,a bit,5,0,1.0,1.0
31,There is so much wrong and you don't seem to understand what's wrong.,much,5,10,0.333333333333,0.666666666667
287,You seem to feel that for these people and I wish you luck.,feel,2,3,0.4,0.6
653,I'm fairly conservative (fiscally anyway) but I can have a rational conversation with someone who has polar opposite views.,fairly,5,0,1.0,1.0
751,If I" bang it up and make it look like trash then that's on me.",look like,3,2,0.6,0.6
221,So it is indeed possible the air has warmed but the ocean has not.,possible,3,2,0.6,0.6
2524,It now seems certain to me that within the next decade the U.K and U.S.A among others will be involved in a fully fledged war against Iran.,among others,5,0,1.0,1.0
715,You know what - we were possibly over there at the same time,possibly,5,0,1.0,1.0
1327,In the future farming will become an endeavor of the highly educated (not necessarily degrees,necessarily,3,2,0.6,0.6
3136,I would be more concerned with his short term intentions to be honest,to be honest,4,1,0.8,0.8
1951,The best estimate of the annual death toll among Americans of working age due to lack of insurance or under-insurance is at least 20,estimate,5,0,1.0,1.0
229,Willis says some of this water is apparently coming from a recent increase in the melting rate of glaciers in Greenland and Antarctica.,apparently,5,0,1.0,1.0
164,Only six percent of posters will read that entire article.,read,2,3,0.4,0.6
223,That becomes clear when you consider what's happening to global sea level.,consider,0,5,0.0,1.0
97,The current round of talks were significant for several reasons,several,5,0,1.0,1.0
13,Houses could constructed using autmation as well,could,4,1,0.8,0.8
12,They may even innovate and make better products for our society,may,5,0,1.0,1.0
15,You should look into Jacque Fresco.,should,0,5,0.0,1.0
55,No amount of justification that there was good reasons to believe can only be summed up with the Rubbaiyya of Omar Khayyam,believe,4,1,0.8,0.8
5611,He seeks pledges from approximately 40,approximately,5,0,1.0,1.0
2495,i'm somewhat more interested in boycotting bp and forcing fund managers to divest all bp stock than i am in prosecuting the bp ceo,somewhat,4,1,0.8,0.8
