SentenceID,HedgeWord,Sentence,Final,Agreement
4810,some,"[..]They and other human rights groups have pinned some of their hopes for tougher regulations on a United Nations Summit scheduled to begin June 26th in New York.",0.0,0.6
30808,some,"The majority of Dems killed almost every single bill brought up by RepublicansI watched some of them",0.0,0.6
25849,someone,"By the same token not having a great deal of money doesn't mean someone expects",1.0,1.0
12830,understand,"I understand the importance of good education",0.0,0.8
9037,most,"Street harassment is one of the most pervasive forms of gender-based violence and one of the least legislated against.",0.0,0.6
19507,could,"You could clearly make a success in another direction.",1.0,0.6
7948,some,"The fact is that some of the best leaders throughout history have been philandering drunkards.",0.0,0.8
29494,believe,"Of course progressives believe its a companies job to hire because money grows on trees...",1.0,0.8
11316,some,"As if it's supposed to be some big deal.",0.0,0.8
2577,most,"Funny he was considered the most conservative option in 2008!",0.0,0.8
20081,know,"I know this wasn't directed at me but it makes no sense whatsoever.",1.0,0.8
28543,know,"But that is because I know first hand that most of us Americans have more in common (freedom",0.0,0.8
24466,feel,"Yeah I feel pretty good the Deficit is being cut down and the private sector is getting the funds to expand.",0.0,0.6
30019,most,"I most admired him when he came out an said",0.0,1.0
28387,find,"I will have to put together (or find someone who can) an equation to signify the love in this song.",0.0,1.0
3591,some,"The fact is that some of the best leaders throughout history have been philandering drunkards.",1.0,1.0
25404,believe,"I do believe the attack was racially motivated because I am white but I don't understand why.",1.0,0.8
21419,sort of,"This program is troubling because most of it is concerned with some sort of integration",0.0,0.6
14734,feel,"But feel free to continue calling people an idiot because they say something beyond your comprehension capabilities.",0.0,0.6
7343,much,"Then: Fluke is having so much sex",1.0,0.8
25851,know,"I know nurses who work the bedside",0.0,0.8
10755,know,"Otherwise you would know what I am talking about.",1.0,0.6
9602,really,"Michael Jackson wanted to settle down and get a really",0.0,0.8
28905,much,"As much as I do not like this disaster",0.0,0.6
28902,someone,"Again none of this shows they were able to avoid any regulations...As someone who recently bought a place literally a stone's throw off the pristine beaches in South Walton Country",0.0,1.0
3968,feel,"Up here in OregonI feel safer already!",0.0,0.8
13880,much,"too much information for people to handle.",0.0,0.8
6060,know,"My friend I do not know the excact weight on that buildingDo you.",0.0,0.8
22748,know,"Oh this ROCKS I didn't know I could see it like this",1.0,0.6
19749,look like,"and cat - that DOES look like choppystix baby!",0.0,0.8
