SentenceID,Sentence,UncertTotal,NumTurkers,Final
1225,You should think about picking up a smaller one.,5,8,0.625
626,I've read so many 9/11 conspiracy theorist threads I'm practically an expert.,1,7,0.142857142857
1735,Perhaps you should realize that the main problem is it sounds like you are attacking Americans and blaming the entire problem of global warming on us and that we are the ones responsible for fixing it.,9,9,1.0
664,I happened to watch a news review on Sky News this morning in which a bunch of journo's were bleating on that we shouldn't condemn all the 'innocent' and hard working journalists at News International just because a whole bunch of hacks at the Sun were arrested... because that would cause untold damage to the whole media industry.,4,8,0.5
1787,(Graphic from the Washington Post) President Bush expanded the federal budget by a historic $700 billion through 2008.,7,7,1.0
6110,This has gotten out of hand.,0,7,0.0
1049,I am 25 and I am worried then if I ever move out they will be completely lost!,2,8,0.25
97,The current round of talks were significant for several reasons,1,7,0.142857142857
135,But I'm not sure the professor knew what 'intellectual' means.,5,6,0.833333333333
4579,Maybe in the past,7,7,1.0
6927,And I was reading an article in Time Magazine a few days after his death..they said that the tape that was retrieved bearing Al-Qaeda's confirmation that Bin laden was dead was found near the compound and had not been verified although it was assumed that it was in fact from Al-Qaeda.,5,6,0.833333333333
7015,I only get it when I've been carrying a bag (not neccessarily heavy),5,8,0.625
2524,It now seems certain to me that within the next decade the U.K and U.S.A among others will be involved in a fully fledged war against Iran.,1,7,0.142857142857
5277,not srsI dare...I dare!!!,0,7,0.0
7092,He has never sent my sister or I a text message,0,7,0.0
22,Its not controversial in the least like the first Zeitgeist film was.,7,7,1.0
7492,She spoke fluent French and all that,5,7,0.714285714286
2529,Would't be shocked if they used nukes either tbhGiven the Israeli mentality I would say we will see them strike Iran.,2,7,0.285714285714
8099,It is time to sweep Newt into the dustbin.,1,8,0.125
0,I guess this is what you wanted me to respond to.,0,7,0.0
7410,seems to be a pretty moderate Republican,0,7,0.0
3899,He took two small papers with declining circulation in a small city in South Australia and built a media empire and made himself on of the wealthiest men in the world.,2,7,0.285714285714
652,I don't expect that movement to end any time soon.,6,7,0.857142857143
6844,So now it is a fight for freedom of choice.,0,7,0.0
509,'Smart' anything is a bit of a reach for him.,5,8,0.625
287,You seem to feel that for these people and I wish you luck.,7,8,0.875
6482,You can re-post all the points of legitimate contention over and over.,8,8,1.0
