SentenceID,HedgeWord,Sentence,Final,Agreement
4341,might,"Or they even might actually possess a gene that you and I don't have.",1.0,1.0
4810,some,"[..]They and other human rights groups have pinned some of their hopes for tougher regulations on a United Nations Summit scheduled to begin June 26th in New York.",0.0,0.6
25849,someone,"By the same token not having a great deal of money doesn't mean someone expects",1.0,1.0
9037,most,"Street harassment is one of the most pervasive forms of gender-based violence and one of the least legislated against.",0.0,0.6
21830,some,"Yes they were only a few yards away but one look away and it's enough time for some local to move his way in.",0.0,0.5
23305,know,"To know a person's religion we need not listen to his profession of faith but must find his brand of intolerance.",0.0,1.0
9994,much,"I would much rather have the Clinton UE of 3.9% where you could throw out a resume and get a better paying job in a month that you barely qualified for than the 6.3% UE of Bush where you couldn't get a job you totally qualified for because you were competing against 40 other guys who were just as qualifed.",0.0,1.0
26501,some,"Not some criteria....Income.",1.0,0.75
2577,most,"Funny he was considered the most conservative option in 2008!",0.0,0.8
29790,kind of,"We haven't heard that kind of talk except from pure socialists.",0.0,1.0
28543,know,"But that is because I know first hand that most of us Americans have more in common (freedom",0.0,0.8
24466,feel,"Yeah I feel pretty good the Deficit is being cut down and the private sector is getting the funds to expand.",0.0,0.6
26650,might,"Take your whine to another thread that might offer more cheese to your mousey mouth.",1.0,1.0
30019,most,"I most admired him when he came out an said",0.0,1.0
28387,find,"I will have to put together (or find someone who can) an equation to signify the love in this song.",0.0,1.0
24489,some,"Give some examples of this.",0.0,0.666666666667
18152,someone,"That means 830 admired someone ELSE.",1.0,1.0
9602,really,"Michael Jackson wanted to settle down and get a really",0.0,0.8
13486,believe,"Personally I believe it is as much a crime to allow your children to become obese from overfeeding then allowing them to become malnourished through under feeding and think the Child Protection Agency should take the same stance",1.0,1.0
17836,most,"most every vet I met over a certain age",1.0,1.0
10142,know,"I don't know a single person who doesn't agree we need cuts.",0.0,0.5
21899,some,"This whole speech by Cameron is simply an effort to gain some short term support for the elections.",0.0,0.75
14474,could,"http://energy.senate.gov/public/inde...h=12&Year=2007Maybe the 'father of the US constitution' could shed some light:If Congress can employ money indefinitely to the general welfare",1.0,0.75
22748,know,"Oh this ROCKS I didn't know I could see it like this",1.0,0.6
241,could,"He could never have weathered a cross-examination if he had taken the stand in his own defense.",0.0,0.6
29236,some,"Not sure if I care at all myself but I did want to see some opinions/discussions of the people here.",0.0,0.5
3697,most,"By far the best debater and most informed candidate and could easily kick Obama's ass in a debate...",0.0,1.0
10168,some,"Our current tax code is the product of some social engineering",0.0,0.6
2977,find,"Pursue a Balanced Budget AmendmentNice find Oltz",0.0,1.0
13952,sort of,"Because the government likes to create a sort of panic and it just so happens to be againsnt people of a different race talking from the point of view of a black teenager myself its hard to shake that stereotype More black role models",0.0,0.8
14973,read,"I didn't read any LBS books",0.0,0.75
17755,someone,"And for someone who has critical thinker in his/her avatar",0.0,0.75
13494,fair,"TLDR: Essentially people who knowingly abuse there body should no longer divert NHS budget from those suffering from ailments beyond there control as it just isn't sustainable and is not fair and gives no incentive to look after your health.",0.0,1.0
12034,some,"Just wanted to add some female support to your posts Just because a majority think it's ok to use",0.0,1.0
30930,most,"And now their most horrific terrorist attack/act of ideological violence for decades comes from a Christian Crusader",0.0,0.8
31571,know,"I know I know",1.0,0.75
19150,someone,"If someone was smart",0.0,0.6
23608,I mean,"I mean look at Barry and his pals.",1.0,1.0
26742,feel,"I feel almost a physical pain",0.0,1.0
5745,know,"if the police think you have committed a crime and you fit the description of the person they know committed the crime....don't the police have the right to stop you and question you.....and why does everyone think the police are going to stop every non-white person they see....i would guess the police will go out of their way to be careful.....New Arizona law forcing hard choices on migrants | ReutersI love how reuters calls them 'migrants' in the title",0.0,0.75
17720,some,"He faxed over some materials supporting his reconciliation.",1.0,0.666666666667
26478,fair,"No... we just want a fair day's pay for a fair day's work... adjusted for inflation and cost of living.",0.0,0.5
442,could,"40 years from now they will be talking about the assholes that could not recognize reality and prevented even preperation for consequences.",0.0,0.75
23673,a little,"Now all those poor people are a little more poor.",1.0,1.0
10135,much,"The fact is we've borrowed and spent too much money.",0.0,0.5
22621,much,"He has a much more flexible career and my earnings will always far exceed his.",0.0,0.75
15586,know,"What Obama is saying is this: we'll give real trials only to those detainees we know in advance we will convict.",1.0,0.6
27424,really,"Richard interviews him afterwards and asks him if he really believes in this stuff.",1.0,1.0
19980,know,"No one knows exactly when",0.0,0.6
11775,most,"No country on earth relies on public charities to handle all their public welfareThey are actually the most efficient",0.0,1.0
17251,really,"I am really quite surprised he gave the Bush administration any credit at all.",0.0,0.6
11290,some,"If you are paying some guy minimum wage to sweep your floors",0.0,0.6
14448,know,"millions are estimated as wanting to adoptAll you have just told me is that you don't know the man at all.",0.0,0.75
27760,most,"Out of all the religions honour killings are by far most prevalant in muslims families - the vast majority",0.0,0.6
30014,much,"He's as much a Progressive as Mitt Romney or Jesus Christ.",1.0,0.6
22281,know,"I think kids need clear dividing lines so they always know what you will allow and what you wont",0.0,0.75
21849,find,"I actually find it shocking",1.0,1.0
17026,someone,"I can see mebbe clarifying when someone becomes a public figure for purposes of libel and slander law -- but even that is a stretch",1.0,0.6
23776,know,"I guess it's just important I know where I stand.",0.0,0.6
16982,know,"Hi OPI am very lucky I know as I have a group of very close girlfriends who I know I am going to carry through life with me - they range from my oldest best friend from school",0.0,0.6
15832,some,"He is indeed due some thanks and consideration for his early contributions",0.0,0.6
27824,read,"seems you don't read what you post.",0.0,0.5
27040,could,"They could care less what happens to the country or the future generations of Americans...as long as they win.",0.0,0.8
5434,really,"Although I guess in a way pleased for them too but really upset for myself.",0.0,1.0
13729,much,"Inter-racial dating doesn't happen very much at all.",1.0,0.8
2163,someone,"If you can't sort things out without suing someone or speaking to a therapist",0.0,0.5
27434,some,"I'm certain i've missed some of the stuff in this program",1.0,0.8
6305,know,"We know who you are...",0.0,0.666666666667
18162,most,"These names are just those that are the most familiar at the moment.",0.0,0.5
28480,really,"I have always been really insecure but then recently I've felt grateful.",0.0,1.0
11052,know,"I don't know where you were during the immigration reform grand march.",0.0,0.6
29351,basic,"It's really not that hard to make one with some basic metalworking equipment.",1.0,1.0
14337,find,"I can pull up the many compliments and words of support I've been offering you but I don't think I'll find anything mean or nasty.",0.0,0.6
